,Unnamed: 0,Day,Hour,Minutes,Weather,Temperature (C),Supply Pump 1 Run Sts,Supply Pump 1 Speed (%),Supply Pump 1 Flow Rate (l/s),Supply Pump 1 Power (KW),Supply Pump 2 Run Sts,Supply Pump 2 Speed (%),Supply Pump 2 Flow Rate (l/s),Supply Pump 2 Power (KW),Discharge Pump Run Sts,Discharge Pump Speed (%),Discharge Pump Flow Rate (l/s),Discharge Pump Power (KWh),Tank Level (Kl),Current Power Usage (KWh),Daily Power Usage (KW),Current Solar Generation (KWh),Daily Solar Generation (KW),Daily Power From Grid (KW),Battery Power Stored (KWh),Current Power From Grid (KWh),Battery Power Failed To Charge (KWh)
10,10,0,2,45,Sunny,13.75,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.414998907400003,16.0,126.0,0.0,0.0,126.0,0.0,16.0,0.0
11,11,0,3,0,Sunny,13.20000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.758998877700003,16.0,130.0,0.0,0.0,130.0,0.0,16.0,0.0
12,12,0,3,15,Sunny,13.20000076,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.102998848000004,61.0,134.0,0.0,0.0,134.0,0.0,61.0,0.0
13,13,0,3,30,Sunny,12.65000057,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.126998646400004,16.0,138.0,0.0,0.0,138.0,0.0,16.0,0.0
14,14,0,3,45,Sunny,12.65000057,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.470998616700005,16.0,142.0,0.0,0.0,142.0,0.0,16.0,0.0
15,15,0,4,0,Sunny,12.10000038,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.814998587000005,61.0,146.0,0.0,0.0,146.0,0.0,61.0,0.0
16,16,0,4,15,Sunny,12.10000038,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.838998385400005,16.0,150.0,0.0,0.0,150.0,0.0,16.0,0.0
17,17,0,4,30,Sunny,11.55000019,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.182998355700006,16.0,154.0,0.0,0.0,154.0,0.0,16.0,0.0
18,18,0,4,45,Sunny,11.55000019,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.526998326000006,61.0,158.0,0.0,0.0,158.0,0.0,61.0,0.0
19,19,0,5,0,Sunny,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.550998124400007,16.0,162.0,0.0,0.0,162.0,0.0,16.0,0.0
20,20,0,5,15,Sunny,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.894998094700007,16.0,166.0,0.0,0.0,166.0,0.0,16.0,0.0
21,21,0,5,30,Sunny,10.44999981,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.238998065000008,61.0,170.0,0.0,0.0,170.0,0.0,61.0,0.0
22,22,0,5,45,Sunny,11.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.262997863400008,16.0,174.0,0.0,0.0,174.0,0.0,16.0,0.0
23,23,0,6,0,Sunny,12.10000038,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,5.606997833700008,61.0,193.0,0.0,0.0,193.0,0.0,61.0,0.0
24,24,0,6,15,Sunny,13.20000076,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,8.630997632100009,16.0,212.0,10.399999618,1.299999952,210.6999969,0.0,5.600000381999999,0.0
25,25,0,6,30,Sunny,14.30000019,False,100,0.0,45,True,100,1.75,15,True,40,1.840000033,16.0,6.974997602400009,31.0,231.0,20.79999924,3.899999857,227.0999908,0.0,10.200000760000002,0.0
26,26,0,6,45,Sunny,15.40000057,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,6.893997572700009,61.0,250.0,31.19999886,7.799999714,242.1999969,0.0,29.80000114,0.0
27,27,0,7,0,Sunny,15.95000076,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,9.91799737110001,61.0,269.0,41.59999848,13.0,256.0,0.0,19.400001520000004,0.0
28,28,0,7,15,Sunny,16.5,True,100,5.199999809,0,False,100,0.0,0,True,45,2.069999933,18.0,12.94199716950001,63.0,288.0,52.0,19.5,268.5,0.0,11.0,0.0
29,29,0,7,30,Sunny,17.05000114,True,100,5.199999809,0,False,100,0.0,0,True,50,2.299999952,20.0,15.75899705790001,65.0,292.5,62.39999772,27.29999924,265.2000122,0.0,2.6000022799999982,0.0
30,30,0,7,45,Sunny,17.60000038,True,100,5.199999809,0,True,100,1.75,0,True,55,2.529999971,22.0,18.36899692920001,82.0,297.5,72.79999542,36.39999771,261.1000061,0.0,9.200004579999998,0.0
31,31,0,8,0,Sunny,18.14999962,True,100,5.199999809,0,True,100,1.75,0,True,65,2.989999771,26.0,22.34699678340001,86.0,303.0,83.19999694,46.79999542,256.2000122,0.0,2.8000030599999945,0.0
32,32,0,8,15,Sunny,18.70000076,False,100,0.0,0,False,100,0.0,0,True,70,3.21999979,28.0,25.910996817600008,28.0,309.5,93.59999848,58.49999619,251.0000153,16.39999962,0.0,0.0
33,33,0,8,30,Sunny,19.25,True,100,5.199999809,0,True,100,1.75,0,True,75,3.449999809,30.0,23.01299700660001,90.0,316.5,98.79999542,70.84999847,245.6499939,18.599998475,0.0,0.0
34,34,0,8,45,Sunny,19.80000114,False,100,0.0,0,False,100,0.0,0,True,80,3.680000067,32.0,26.16299700660001,32.0,324.0,104.0,83.84999847,240.1499939,36.599998475,0.0,0.0
35,35,0,9,0,Sunny,20.35000038,True,100,5.199999809,0,True,100,1.75,0,True,90,4.139999866,36.0,22.850996946300008,96.0,332.0,109.19999694,97.5,234.5,39.89999771,0.0,0.0
36,36,0,9,15,Sunny,20.89999962,False,100,0.0,0,False,100,0.0,0,True,95,4.369999886,38.0,25.37999689500001,38.0,341.0,114.3999939,111.8000031,229.1999969,58.999996185,0.0,0.0
37,37,0,9,30,Sunny,21.45000076,True,100,5.199999809,0,True,100,1.75,0,True,100,4.599999905,40.0,21.44699699760001,100.0,350.5,119.59999848,126.75,223.75,63.899995805,0.0,0.0
38,38,0,9,45,Sunny,22.0,True,100,5.199999809,45,True,100,1.75,15,False,100,4.599999905,40.0,23.561996911200012,100.0,360.5,124.79999542,142.3500061,218.1499939,70.09999466000001,0.0,0.0
39,39,0,10,0,Sunny,22.55000114,False,100,0.0,45,False,100,0.0,15,True,100,4.599999905,40.0,25.676996824800014,40.0,375.5,130.0,158.6000061,216.8999939,92.59999466000001,0.0,0.0
40,40,0,10,15,Sunny,23.10000038,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,21.536996910300015,100.0,400.5,135.19999694,175.5,225.0,101.39999389500001,0.0,0.0
41,41,0,10,30,Sunny,23.64999962,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,23.651996823900017,100.0,425.5,140.3999939,193.0500031,232.4499969,111.49999237,0.0,0.0
42,42,0,10,45,Sunny,24.20000076,False,100,0.0,45,False,100,0.0,15,True,100,4.599999905,40.0,25.76699673750002,40.0,450.5,145.59999084,211.25,239.2500153,137.89999008,0.0,0.0
43,43,0,11,0,Sunny,24.75,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,21.62699682300002,100.0,475.5,145.59999084,229.4499969,246.0500031,149.29998779000002,0.0,0.0
44,44,0,11,15,Sunny,25.30000114,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,23.741996736600022,100.0,500.5,145.59999084,247.6499939,252.8499908,160.69998550000003,0.0,0.0
45,45,0,11,30,Sunny,25.85000038,False,100,0.0,45,False,100,0.0,15,True,100,4.599999905,40.0,25.856996650200024,40.0,525.5,145.59999084,265.8500061,259.6499634,187.09998321000003,0.0,0.0
46,46,0,11,45,Sunny,26.40000153,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,21.716996735700025,100.0,550.5,145.59999084,284.0500183,266.4499512,198.49998092000004,0.0,0.0
47,47,0,12,0,Sunny,26.95000076,True,100,5.199999809,45,True,100,1.75,15,True,95,4.369999886,38.0,23.831996649300027,98.0,575.5,145.59999084,302.2500305,273.249939,210.39997863000005,0.0,0.0
48,48,0,12,15,Sunny,27.5,False,100,0.0,45,False,100,0.0,15,True,90,4.139999866,36.0,26.15399658000003,36.0,600.0,145.59999084,320.4500427,279.5499268,237.79997634000006,0.0,0.0
49,49,0,12,30,Sunny,28.05000114,True,100,5.199999809,45,True,100,1.75,15,True,85,3.910000086,34.0,22.42799670060003,94.0,624.0,145.59999084,338.6500549,285.3499146,250.69997405000007,0.0,0.0
50,50,0,12,45,Sunny,28.60000038,True,100,5.199999809,0,True,100,1.75,0,True,80,3.680000067,32.0,25.16399645130003,92.0,647.5,145.59999084,356.8500671,290.6499023,264.0999717600001,0.0,0.0
51,51,0,13,0,Sunny,29.15000153,False,100,0.0,0,False,100,0.0,0,True,80,3.680000067,32.0,28.10699621910003,32.0,655.5,145.59999084,375.0500793,280.4498901,292.49996947000005,0.0,0.0
52,52,0,13,15,Sunny,29.70000076,True,100,5.199999809,0,True,100,1.75,0,True,85,3.910000086,34.0,24.79499615880003,94.0,663.5,145.59999084,393.2500916,270.2498779,305.39996718000003,0.0,0.0
53,53,0,13,30,Sunny,30.25,False,100,0.0,0,False,100,0.0,0,True,90,4.139999866,36.0,27.530995909500028,36.0,672.0,145.59999084,411.4501038,260.5498657,332.79996489,0.0,0.0
54,54,0,13,45,Sunny,30.80000114,True,100,5.199999809,0,True,100,1.75,0,True,95,4.369999886,38.0,23.80499603010003,98.0,681.0,145.59999084,429.650116,251.3498688,344.6999626,0.0,0.0
55,55,0,14,0,Sunny,30.80000114,False,100,0.0,0,False,100,0.0,0,True,100,4.599999905,40.0,26.12699596080003,40.0,690.5,145.59999084,447.8501282,242.6498566,371.09996031,0.0,0.0
56,56,0,14,15,Sunny,30.80000114,True,100,5.199999809,0,True,100,1.75,0,True,100,4.599999905,40.0,21.986996046300032,100.0,700.5,145.59999084,466.0501404,234.4498596,382.49995801999995,0.0,0.0
57,57,0,14,30,Sunny,30.80000114,True,100,5.199999809,0,True,100,1.75,0,True,100,4.599999905,40.0,24.101995959900034,100.0,710.5,145.59999084,484.2501526,226.2498627,393.89995572999993,0.0,0.0
58,58,0,14,45,Sunny,30.25,False,100,0.0,45,False,100,0.0,15,False,100,4.599999905,40.0,26.216995873500036,40.0,720.5,140.3999939,501.8001404,218.6998596,418.99995420499994,0.0,0.0
59,59,0,15,0,Sunny,30.25,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,22.076995959000037,100.0,735.5,135.19999694,518.7001343,216.7998657,427.79995343999997,0.0,0.0
60,60,0,15,15,Sunny,29.70000076,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,24.19199587260004,100.0,760.5,130.0,534.9501343,225.5498657,435.29995343999997,0.0,0.0
61,61,0,15,30,Sunny,29.70000076,False,100,0.0,45,False,100,0.0,15,True,100,4.599999905,40.0,26.30699578620004,40.0,785.5,124.79999542,550.5501099,234.9498596,456.49995229499996,0.0,0.0
62,62,0,15,45,Sunny,29.15000153,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,22.166995871700042,100.0,810.5,119.59999848,565.5001221,244.9998627,461.399951915,0.0,0.0
63,63,0,16,0,Sunny,29.15000153,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,24.281995785300044,100.0,835.5,114.3999939,579.8001099,255.6998749,464.99995039,0.0,0.0
64,64,0,16,15,Sunny,28.60000038,False,100,0.0,45,False,100,0.0,15,True,100,4.599999905,40.0,26.396995698900046,40.0,860.5,109.19999694,593.4501343,267.0498962,482.29994962499995,0.0,0.0
65,65,0,16,30,Sunny,28.05000114,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,22.256995784400047,100.0,885.5,104.0,606.4501343,279.0498962,483.29994962499995,0.0,0.0
66,66,0,16,45,Sunny,27.5,True,100,5.199999809,45,True,100,1.75,15,True,100,4.599999905,40.0,24.37199569800005,100.0,910.5,98.79999542,618.8001099,291.6998901,482.99994847999994,0.0,0.0
67,67,0,17,0,Sunny,26.95000076,False,100,0.0,45,False,100,0.0,15,True,95,4.369999886,38.0,26.48699561160005,38.0,935.5,93.59999848,630.5001221,304.9998779,496.89994809999996,0.0,0.0
68,68,0,17,15,Sunny,26.40000153,True,100,5.199999809,45,True,100,1.75,15,True,90,4.139999866,36.0,22.553995714200052,96.0,960.0,88.3999939,641.5501099,318.4498901,494.99994657499997,0.0,0.0
69,69,0,17,30,Sunny,25.85000038,True,100,5.199999809,0,True,100,1.75,0,True,85,3.910000086,34.0,25.082995662900053,94.0,984.0,83.19999694,651.9501343,332.0498962,492.29994580999994,0.0,0.0
70,70,0,17,45,Sunny,25.30000114,False,100,0.0,0,False,100,0.0,0,True,80,3.680000067,32.0,27.818995413600053,32.0,992.5,72.79999542,661.0501099,331.4498901,500.0,0.0,2.4999446649999406
71,71,0,18,0,Sunny,24.75,True,100,5.199999809,0,False,100,0.0,0,True,70,3.21999979,28.0,24.506995353300052,73.0,1000.5,62.39999772,668.8500977,331.6499023,497.34999943,0.0,0.0
72,72,0,18,15,Sunny,24.20000076,False,100,0.0,0,False,100,0.0,0,True,65,2.989999771,26.0,26.288995370400052,26.0,1007.5,52.0,675.3500977,332.1499023,500.0,0.0,3.8499994300000253
73,73,0,18,30,Sunny,23.64999962,True,100,5.199999809,0,False,100,0.0,0,True,60,2.75999999,24.0,23.59799557650005,69.0,1014.0,41.59999848,680.5501099,333.4498901,493.14999962,0.0,0.0
74,74,0,18,45,Sunny,23.10000038,False,100,0.0,0,False,100,0.0,0,True,55,2.529999971,22.0,25.79399541360005,22.0,1020.0,31.19999886,684.4501343,335.5498962,495.44999933500003,0.0,0.0
75,75,0,19,0,Sunny,22.55000114,False,100,0.0,0,True,100,1.75,0,True,45,2.069999933,18.0,23.51699543970005,33.0,1025.5,20.79999924,687.0501099,338.4498901,492.39999914500004,0.0,0.0
76,76,0,19,15,Sunny,22.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,23.22899550000005,16.0,1030.0,10.399999618,688.3500977,341.6499023,490.99999904950005,0.0,0.0
77,77,0,19,30,Sunny,22.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,21.57299547030005,16.0,1034.0,0.0,688.3500977,345.6499023,486.99999904950005,0.0,0.0
78,78,0,19,45,Sunny,21.45000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,19.91699544060005,16.0,1038.0,0.0,688.3500977,349.6499023,482.99999904950005,0.0,0.0
79,79,0,20,0,Sunny,21.45000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,18.26099541090005,16.0,1042.0,0.0,688.3500977,353.6499023,478.99999904950005,0.0,0.0
80,80,0,20,15,Sunny,20.89999962,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,16.60499538120005,16.0,1046.0,0.0,688.3500977,357.6499023,474.99999904950005,0.0,0.0
81,81,0,20,30,Sunny,20.89999962,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,14.948995351500052,16.0,1050.0,0.0,688.3500977,361.6499023,470.99999904950005,0.0,0.0
82,82,0,20,45,Sunny,20.35000038,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,13.292995321800053,16.0,1069.0,0.0,688.3500977,380.6499023,466.99999904950005,0.0,0.0
83,83,0,21,0,Sunny,20.35000038,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,11.636995292100053,16.0,1088.0,0.0,688.3500977,399.6499023,462.99999904950005,0.0,0.0
84,84,0,21,15,Sunny,19.80000114,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,9.980995262400054,16.0,1107.0,0.0,688.3500977,418.6499023,458.99999904950005,0.0,0.0
85,85,0,21,30,Sunny,19.80000114,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,8.324995232700054,16.0,1126.0,0.0,688.3500977,437.6499023,454.99999904950005,0.0,0.0
86,86,0,21,45,Sunny,19.25,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.668995203000055,16.0,1145.0,0.0,688.3500977,456.6499023,450.99999904950005,0.0,0.0
87,87,0,22,0,Sunny,19.25,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.012995173300055,61.0,1164.0,0.0,688.3500977,475.6499023,435.74999904950005,0.0,0.0
88,88,0,22,15,Sunny,18.70000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.036994971700056,16.0,1168.0,0.0,688.3500977,479.6499023,431.74999904950005,0.0,0.0
89,89,0,22,30,Sunny,18.70000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.380994942000056,16.0,1172.0,0.0,688.3500977,483.6499023,427.74999904950005,0.0,0.0
90,90,0,22,45,Sunny,18.14999962,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.7249949123000565,61.0,1176.0,0.0,688.3500977,487.6499023,412.49999904950005,0.0,0.0
91,91,0,23,0,Sunny,18.14999962,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.748994710700057,16.0,1180.0,0.0,688.3500977,491.6499023,408.49999904950005,0.0,0.0
92,92,0,23,15,Sunny,17.60000038,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.092994681000057,16.0,1184.0,0.0,688.3500977,495.6499023,404.49999904950005,0.0,0.0
93,93,0,23,30,Sunny,17.05000114,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.436994651300058,61.0,1188.0,0.0,688.3500977,499.6499023,389.24999904950005,0.0,0.0
94,94,0,23,45,Sunny,17.05000114,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.460994449700058,16.0,1192.0,0.0,688.3500977,503.6499023,385.24999904950005,0.0,0.0
95,95,0,24,0,Sunny,16.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.8049944200000585,16.0,1196.0,0.0,688.3500977,507.6499023,381.24999904950005,0.0,0.0
96,96,1,0,15,Cloudy,15.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.148994390300059,61.0,4.0,0.0,0.0,4.0,365.99999904950005,0.0,0.0
97,97,1,0,30,Cloudy,14.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.172994188700059,16.0,8.0,0.0,0.0,8.0,361.99999904950005,0.0,0.0
98,98,1,0,45,Cloudy,14.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.51699415900006,61.0,12.0,0.0,0.0,12.0,346.74999904950005,0.0,0.0
99,99,1,1,0,Cloudy,14.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.54099395740006,16.0,16.0,0.0,0.0,16.0,342.74999904950005,0.0,0.0
100,100,1,1,15,Cloudy,14.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.8849939277000605,16.0,20.0,0.0,0.0,20.0,338.74999904950005,0.0,0.0
101,101,1,1,30,Cloudy,13.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.228993898000061,61.0,24.0,0.0,0.0,24.0,323.49999904950005,0.0,0.0
102,102,1,1,45,Cloudy,13.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.252993696400061,16.0,28.0,0.0,0.0,28.0,319.49999904950005,0.0,0.0
103,103,1,2,0,Cloudy,13.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.596993666700062,16.0,32.0,0.0,0.0,32.0,315.49999904950005,0.0,0.0
104,104,1,2,15,Cloudy,13.0,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.940993637000062,61.0,51.0,0.0,0.0,51.0,300.24999904950005,0.0,0.0
105,105,1,2,30,Cloudy,12.5,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.964993435400062,16.0,70.0,0.0,0.0,70.0,296.24999904950005,0.0,0.0
106,106,1,2,45,Cloudy,12.5,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.308993405700063,16.0,89.0,0.0,0.0,89.0,292.24999904950005,0.0,0.0
107,107,1,3,0,Cloudy,12.0,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.6529933760000635,61.0,108.0,0.0,0.0,108.0,276.99999904950005,0.0,0.0
108,108,1,3,15,Cloudy,12.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.676993174400064,16.0,127.0,0.0,0.0,127.0,272.99999904950005,0.0,0.0
109,109,1,3,30,Cloudy,11.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.020993144700064,16.0,146.0,0.0,0.0,146.0,268.99999904950005,0.0,0.0
110,110,1,3,45,Cloudy,11.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.364993115000065,61.0,150.0,0.0,0.0,150.0,253.74999904950005,0.0,0.0
111,111,1,4,0,Cloudy,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.388992913400065,16.0,154.0,0.0,0.0,154.0,249.74999904950005,0.0,0.0
112,112,1,4,15,Cloudy,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.732992883700065,16.0,158.0,0.0,0.0,158.0,245.74999904950005,0.0,0.0
113,113,1,4,30,Cloudy,10.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.076992854000066,61.0,162.0,0.0,0.0,162.0,230.49999904950005,0.0,0.0
114,114,1,4,45,Cloudy,10.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.100992652400066,16.0,166.0,0.0,0.0,166.0,226.49999904950005,0.0,0.0
115,115,1,5,0,Cloudy,10.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.444992622700067,61.0,170.0,0.0,0.0,170.0,211.24999904950005,0.0,0.0
116,116,1,5,15,Cloudy,10.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.468992421100067,16.0,174.0,0.0,0.0,174.0,207.24999904950005,0.0,0.0
117,117,1,5,30,Cloudy,9.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.812992391400067,16.0,178.0,0.0,0.0,178.0,203.24999904950005,0.0,0.0
118,118,1,5,45,Cloudy,10.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.156992361700068,61.0,182.0,0.0,0.0,182.0,187.99999904950005,0.0,0.0
119,119,1,6,0,Cloudy,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.180992160100068,16.0,186.0,0.0,0.0,186.0,183.99999904950005,0.0,0.0
120,120,1,6,15,Cloudy,12.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.524992130400069,16.0,190.0,2.0,0.25,189.75,180.49999904950005,0.0,0.0
121,121,1,6,30,Cloudy,13.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.868992100700069,61.0,194.0,4.0,0.75,193.25,166.24999904950005,0.0,0.0
122,122,1,6,45,Cloudy,14.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.892991899100069,16.0,198.0,6.0,1.5,196.5,163.74999904950005,0.0,0.0
123,123,1,7,0,Cloudy,14.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.23699186940007,16.0,202.0,8.0,2.5,199.5,161.74999904950005,0.0,0.0
124,124,1,7,15,Cloudy,15.0,True,100,5.199999809,0,False,100,0.0,0,True,45,2.069999933,18.0,4.58099183970007,63.0,206.0,10.0,3.75,202.25,148.49999904950005,0.0,0.0
125,125,1,7,30,Cloudy,15.5,False,100,0.0,0,False,100,0.0,0,True,50,2.299999952,20.0,7.39799172810007,20.0,210.5,12.0,5.25,205.25,146.49999904950005,0.0,0.0
126,126,1,7,45,Cloudy,16.0,True,100,5.199999809,45,False,100,0.0,15,False,55,2.52999994775,22.0,5.32799177130007,67.0,215.5,14.0,7.0,208.5,133.24999904950005,0.0,0.0
127,127,1,8,0,Cloudy,16.5,False,100,0.0,45,False,100,0.0,15,True,65,2.989999771,26.0,7.73099164642507,26.0,230.5,16.0,9.0,221.5,130.74999904950005,0.0,0.0
128,128,1,8,15,Cloudy,17.0,True,100,5.199999809,45,False,100,0.0,15,True,70,3.21999979,28.0,5.03999185252507,73.0,252.0,18.0,11.25,240.75,116.99999904950005,0.0,0.0
129,129,1,8,30,Cloudy,17.5,False,100,0.0,45,False,100,0.0,15,True,75,3.449999809,30.0,6.821991869625069,30.0,274.0,19.0,13.625,260.375,114.24999904950005,0.0,0.0
130,130,1,8,45,Cloudy,18.0,True,100,5.199999809,45,False,100,0.0,15,True,80,3.680000067,32.0,3.7169920415250695,77.0,296.5,20.0,16.125,280.375,99.99999904950005,0.0,0.0
