,Unnamed: 0,Day,Hour,Minutes,Weather,Temperature (C),Supply Pump 1 Run Sts,Supply Pump 1 Speed (%),Supply Pump 1 Flow Rate (l/s),Supply Pump 1 Power (KW),Supply Pump 2 Run Sts,Supply Pump 2 Speed (%),Supply Pump 2 Flow Rate (l/s),Supply Pump 2 Power (KW),Discharge Pump Run Sts,Discharge Pump Speed (%),Discharge Pump Flow Rate (l/s),Discharge Pump Power (KWh),Tank Level (Kl),Current Power Usage (KWh),Daily Power Usage (KW),Current Solar Generation (KWh),Daily Solar Generation (KW),Daily Power From Grid (KW),Current Power From Grid (KWh),Battery Power Failed To Charge (KWh),Battery Power Stored (KWh)
18,18,0,4,45,Sunny,11.55000019,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.526998326000006,61,158.0,0.0,0.0,158.0,61.0,0.0,0
19,19,0,5,0,Sunny,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.550998124400007,16,162.0,0.0,0.0,162.0,16.0,0.0,0
20,20,0,5,15,Sunny,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.894998094700007,16,166.0,0.0,0.0,166.0,16.0,0.0,0
21,21,0,5,30,Sunny,10.44999981,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.238998065000008,61,170.0,0.0,0.0,170.0,61.0,0.0,0
22,22,0,5,45,Sunny,11.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.262997863400008,16,174.0,0.0,0.0,174.0,16.0,0.0,0
23,23,0,6,0,Sunny,12.10000038,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,5.606997833700008,61,193.0,0.0,0.0,193.0,61.0,0.0,0
24,24,0,6,15,Sunny,13.20000076,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,8.630997632100009,16,212.0,5.199999809,1.299999952,210.6999969,10.800000190999999,0.0,0
25,25,0,6,30,Sunny,14.30000019,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.974997602400009,16,231.0,10.39999962,3.899999857,227.0999908,5.600000380000001,0.0,0
26,26,0,6,45,Sunny,15.40000057,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,5.31899757270001,61,250.0,15.59999943,7.799999714,242.1999969,45.40000057,0.0,0
27,27,0,7,0,Sunny,15.95000076,False,100,0.0,45,True,100,1.75,15,True,40,1.840000033,16.0,8.34299737110001,31,269.0,20.79999924,13.0,256.0,10.200000760000002,0.0,0
28,28,0,7,15,Sunny,16.5,False,100,0.0,0,True,100,1.75,0,True,45,2.069999933,18.0,8.26199734140001,33,288.0,26.0,19.5,268.5,7.0,0.0,0
29,29,0,7,30,Sunny,17.05000114,False,100,0.0,0,True,100,1.75,0,True,50,2.299999952,20.0,7.97399740170001,35,292.5,31.19999886,27.29999924,265.2000122,3.800001139999999,0.0,0
30,30,0,7,45,Sunny,17.60000038,False,100,0.0,0,True,100,1.75,0,True,55,2.529999971,22.0,7.47899744490001,37,297.5,36.39999771,36.39999771,261.1000061,0.600002289999999,0.0,0
31,31,0,8,0,Sunny,18.14999962,True,100,5.199999809,0,False,100,0.0,0,True,65,2.989999771,26.0,6.77699747100001,71,303.0,41.59999847,46.79999542,256.2000122,29.400001529999997,0.0,0
32,32,0,8,15,Sunny,18.70000076,True,100,5.199999809,0,False,100,0.0,0,True,70,3.21999979,28.0,8.76599750520001,73,309.5,46.79999924,58.49999619,251.0000153,26.20000076,0.0,0
33,33,0,8,30,Sunny,19.25,True,100,5.199999809,0,False,100,0.0,0,True,75,3.449999809,30.0,10.54799752230001,75,316.5,49.39999771,70.84999847,245.6499939,25.60000229,0.0,0
34,34,0,8,45,Sunny,19.80000114,True,100,5.199999809,0,False,100,0.0,0,True,80,3.680000067,32.0,12.122997522300011,77,324.0,52.0,83.84999847,240.1499939,25.0,0.0,0
35,35,0,9,0,Sunny,20.35000038,True,100,5.199999809,0,False,100,0.0,0,True,90,4.139999866,36.0,13.490997290100012,81,332.0,54.59999847,97.5,234.5,26.400001529999997,0.0,0
36,36,0,9,15,Sunny,20.89999962,True,100,5.199999809,0,False,100,0.0,0,True,95,4.369999886,38.0,14.444997238800012,83,341.0,57.19999695,111.8000031,229.1999969,25.80000305,0.0,0
37,37,0,9,30,Sunny,21.45000076,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,15.191997169500013,85,350.5,59.79999924,126.75,223.75,25.20000076,0.0,0
38,38,0,9,45,Sunny,22.0,True,100,5.199999809,45,False,100,0.0,15,False,100,4.599999905,40.0,15.731997083100014,85,360.5,62.39999771,142.3500061,218.1499939,22.60000229,0.0,0
39,39,0,10,0,Sunny,22.55000114,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,16.271996996700015,85,375.5,65.0,158.6000061,216.8999939,20.0,0.0,0
40,40,0,10,15,Sunny,23.10000038,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,16.811996910300014,85,400.5,67.59999847,175.5,225.0,17.400001529999997,0.0,0
41,41,0,10,30,Sunny,23.64999962,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,17.351996823900013,85,425.5,70.19999695,193.0500031,232.4499969,14.80000305,0.0,0
42,42,0,10,45,Sunny,24.20000076,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,17.891996737500012,85,450.5,72.79999542,211.25,239.2500153,12.200004579999998,0.0,0
43,43,0,11,0,Sunny,24.75,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,18.43199665110001,85,475.5,72.79999542,229.4499969,246.0500031,12.200004579999998,0.0,0
44,44,0,11,15,Sunny,25.30000114,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,18.97199656470001,85,500.5,72.79999542,247.6499939,252.8499908,12.200004579999998,0.0,0
45,45,0,11,30,Sunny,25.85000038,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,19.51199647830001,85,525.5,72.79999542,265.8500061,259.6499634,12.200004579999998,0.0,0
46,46,0,11,45,Sunny,26.40000153,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,20.05199639190001,85,550.5,72.79999542,284.0500183,266.4499512,12.200004579999998,0.0,0
47,47,0,12,0,Sunny,26.95000076,True,100,5.199999809,45,False,100,0.0,15,True,95,4.369999886,38.0,20.591996305500007,83,575.5,72.79999542,302.2500305,273.249939,10.200004579999998,0.0,0
48,48,0,12,15,Sunny,27.5,True,100,5.199999809,45,False,100,0.0,15,True,90,4.139999866,36.0,21.338996236200007,81,600.0,72.79999542,320.4500427,279.5499268,8.200004579999998,0.0,0
49,49,0,12,30,Sunny,28.05000114,True,100,5.199999809,45,False,100,0.0,15,True,85,3.910000086,34.0,22.29299618490001,79,624.0,72.79999542,338.6500549,285.3499146,6.200004579999998,0.0,0
50,50,0,12,45,Sunny,28.60000038,True,100,5.199999809,0,False,100,0.0,0,True,80,3.680000067,32.0,23.45399593560001,77,647.5,72.79999542,356.8500671,290.6499023,4.200004579999998,0.0,0
51,51,0,13,0,Sunny,29.15000153,True,100,5.199999809,0,False,100,0.0,0,True,80,3.680000067,32.0,24.82199570340001,77,655.5,72.79999542,375.0500793,280.4498901,4.200004579999998,0.0,0
52,52,0,13,15,Sunny,29.70000076,False,100,0.0,0,False,100,0.0,0,True,85,3.910000086,34.0,26.18999547120001,34,663.5,72.79999542,393.2500916,270.2498779,0.0,9.699998855,0
53,53,0,13,30,Sunny,30.25,True,100,5.199999809,0,False,100,0.0,0,True,90,4.139999866,36.0,22.67099539380001,81,672.0,72.79999542,411.4501038,260.5498657,8.200004579999998,0.0,0
54,54,0,13,45,Sunny,30.80000114,True,100,5.199999809,0,False,100,0.0,0,True,95,4.369999886,38.0,23.62499534250001,83,681.0,72.79999542,429.650116,251.3498688,10.200004579999998,0.0,0
55,55,0,14,0,Sunny,30.80000114,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,24.37199527320001,85,690.5,72.79999542,447.8501282,242.6498566,12.200004579999998,0.0,0
56,56,0,14,15,Sunny,30.80000114,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,24.91199518680001,85,700.5,72.79999542,466.0501404,234.4498596,12.200004579999998,0.0,0
57,57,0,14,30,Sunny,30.80000114,False,100,0.0,0,False,100,0.0,0,True,100,4.599999905,40.0,25.45199510040001,40,710.5,72.79999542,484.2501526,226.2498627,0.0,8.199998855,0
58,58,0,14,45,Sunny,30.25,True,100,5.199999809,45,False,100,0.0,15,False,100,4.599999905,40.0,21.31199518590001,85,720.5,70.19999695,501.8001404,218.6998596,14.80000305,0.0,0
59,59,0,15,0,Sunny,30.25,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,21.85199509950001,85,735.5,67.59999847,518.7001343,216.7998657,17.400001529999997,0.0,0
60,60,0,15,15,Sunny,29.70000076,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,22.391995013100008,85,760.5,65.0,534.9501343,225.5498657,20.0,0.0,0
61,61,0,15,30,Sunny,29.70000076,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,22.931994926700007,85,785.5,62.39999771,550.5501099,234.9498596,22.60000229,0.0,0
62,62,0,15,45,Sunny,29.15000153,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,23.471994840300006,85,810.5,59.79999924,565.5001221,244.9998627,25.20000076,0.0,0
63,63,0,16,0,Sunny,29.15000153,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,24.011994753900005,85,835.5,57.19999695,579.8001099,255.6998749,27.80000305,0.0,0
64,64,0,16,15,Sunny,28.60000038,False,100,0.0,45,True,100,1.75,15,True,100,4.599999905,40.0,24.551994667500004,55,860.5,54.59999847,593.4501343,267.0498962,0.4000015299999973,0.0,0
65,65,0,16,30,Sunny,28.05000114,False,100,0.0,45,True,100,1.75,15,True,100,4.599999905,40.0,21.986994753000005,55,885.5,52.0,606.4501343,279.0498962,3.0,0.0,0
66,66,0,16,45,Sunny,27.5,False,100,0.0,45,True,100,1.75,15,True,100,4.599999905,40.0,19.421994838500005,55,910.5,49.39999771,618.8001099,291.6998901,5.600002289999999,0.0,0
67,67,0,17,0,Sunny,26.95000076,False,100,0.0,45,True,100,1.75,15,True,95,4.369999886,38.0,16.856994924000006,53,935.5,46.79999924,630.5001221,304.9998779,6.200000760000002,0.0,0
68,68,0,17,15,Sunny,26.40000153,False,100,0.0,45,True,100,1.75,15,True,90,4.139999866,36.0,14.498995026600006,51,960.0,44.19999695,641.5501099,318.4498901,6.800003050000001,0.0,0
69,69,0,17,30,Sunny,25.85000038,False,100,0.0,0,True,100,1.75,0,True,85,3.910000086,34.0,12.347995147200006,49,984.0,41.59999847,651.9501343,332.0498962,7.400001529999997,0.0,0
70,70,0,17,45,Sunny,25.30000114,False,100,0.0,0,True,100,1.75,0,True,80,3.680000067,32.0,10.403995069800006,47,992.5,36.39999771,661.0501099,331.4498901,10.600002289999999,0.0,0
71,71,0,18,0,Sunny,24.75,False,100,0.0,0,True,100,1.75,0,True,70,3.21999979,28.0,8.666995009500006,43,1000.5,31.19999886,668.8500977,331.6499023,11.800001139999999,0.0,0
72,72,0,18,15,Sunny,24.20000076,False,100,0.0,0,False,100,0.0,0,True,65,2.989999771,26.0,7.343995198500006,26,1007.5,26.0,675.3500977,332.1499023,0.0,0.0,0
73,73,0,18,30,Sunny,23.64999962,True,100,5.199999809,0,False,100,0.0,0,True,60,2.75999999,24.0,4.652995404600006,69,1014.0,20.79999924,680.5501099,333.4498901,48.20000076,0.0,0
74,74,0,18,45,Sunny,23.10000038,False,100,0.0,0,False,100,0.0,0,True,55,2.529999971,22.0,6.848995241700006,22,1020.0,15.59999943,684.4501343,335.5498962,6.4000005699999996,0.0,0
75,75,0,19,0,Sunny,22.55000114,True,100,5.199999809,0,False,100,0.0,0,True,45,2.069999933,18.0,4.5719952678000055,63,1025.5,10.39999962,687.0501099,338.4498901,52.60000038,0.0,0
76,76,0,19,15,Sunny,22.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.388995156200005,16,1030.0,5.199999809,688.3500977,341.6499023,10.800000190999999,0.0,0
77,77,0,19,30,Sunny,22.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.732995126500006,16,1034.0,0.0,688.3500977,345.6499023,16.0,0.0,0
78,78,0,19,45,Sunny,21.45000076,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.076995096800006,61,1038.0,0.0,688.3500977,349.6499023,61.0,0.0,0
79,79,0,20,0,Sunny,21.45000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.100994895200007,16,1042.0,0.0,688.3500977,353.6499023,16.0,0.0,0
80,80,0,20,15,Sunny,20.89999962,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.444994865500007,61,1046.0,0.0,688.3500977,357.6499023,61.0,0.0,0
81,81,0,20,30,Sunny,20.89999962,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,8.468994663900007,16,1050.0,0.0,688.3500977,361.6499023,16.0,0.0,0
82,82,0,20,45,Sunny,20.35000038,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.812994634200008,16,1069.0,0.0,688.3500977,380.6499023,16.0,0.0,0
83,83,0,21,0,Sunny,20.35000038,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,5.156994604500008,61,1088.0,0.0,688.3500977,399.6499023,61.0,0.0,0
84,84,0,21,15,Sunny,19.80000114,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,8.180994402900009,16,1107.0,0.0,688.3500977,418.6499023,16.0,0.0,0
85,85,0,21,30,Sunny,19.80000114,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.524994373200009,16,1126.0,0.0,688.3500977,437.6499023,16.0,0.0,0
86,86,0,21,45,Sunny,19.25,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.86899434350001,61,1145.0,0.0,688.3500977,456.6499023,61.0,0.0,0
87,87,0,22,0,Sunny,19.25,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.89299414190001,16,1164.0,0.0,688.3500977,475.6499023,16.0,0.0,0
88,88,0,22,15,Sunny,18.70000076,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.23699411220001,16,1168.0,0.0,688.3500977,479.6499023,16.0,0.0,0
89,89,0,22,30,Sunny,18.70000076,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.580994082500011,61,1172.0,0.0,688.3500977,483.6499023,61.0,0.0,0
90,90,0,22,45,Sunny,18.14999962,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.604993880900011,16,1176.0,0.0,688.3500977,487.6499023,16.0,0.0,0
91,91,0,23,0,Sunny,18.14999962,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,5.948993851200012,16,1180.0,0.0,688.3500977,491.6499023,16.0,0.0,0
92,92,0,23,15,Sunny,17.60000038,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.292993821500012,61,1184.0,0.0,688.3500977,495.6499023,61.0,0.0,0
93,93,0,23,30,Sunny,17.05000114,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.316993619900012,16,1188.0,0.0,688.3500977,499.6499023,16.0,0.0,0
94,94,0,23,45,Sunny,17.05000114,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.660993590200013,61,1192.0,0.0,688.3500977,503.6499023,61.0,0.0,0
95,95,0,24,0,Sunny,16.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.684993388600013,16,1196.0,0.0,688.3500977,507.6499023,16.0,0.0,0
96,96,1,0,15,Cloudy,15.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.0289933589000135,16,4.0,0.0,0.0,4.0,16.0,0.0,0
97,97,1,0,30,Cloudy,14.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.372993329200014,61,8.0,0.0,0.0,8.0,61.0,0.0,0
98,98,1,0,45,Cloudy,14.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.396993127600014,16,12.0,0.0,0.0,12.0,16.0,0.0,0
99,99,1,1,0,Cloudy,14.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.740993097900015,16,16.0,0.0,0.0,16.0,16.0,0.0,0
100,100,1,1,15,Cloudy,14.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.084993068200015,61,20.0,0.0,0.0,20.0,61.0,0.0,0
101,101,1,1,30,Cloudy,13.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.108992866600016,16,24.0,0.0,0.0,24.0,16.0,0.0,0
102,102,1,1,45,Cloudy,13.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.452992836900016,16,28.0,0.0,0.0,28.0,16.0,0.0,0
103,103,1,2,0,Cloudy,13.0,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.7969928072000165,61,32.0,0.0,0.0,32.0,61.0,0.0,0
104,104,1,2,15,Cloudy,13.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.820992605600017,16,51.0,0.0,0.0,51.0,16.0,0.0,0
105,105,1,2,30,Cloudy,12.5,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,6.164992575900017,16,70.0,0.0,0.0,70.0,16.0,0.0,0
106,106,1,2,45,Cloudy,12.5,True,100,5.199999809,45,False,100,0.0,15,True,40,1.840000033,16.0,4.508992546200018,61,89.0,0.0,0.0,89.0,61.0,0.0,0
107,107,1,3,0,Cloudy,12.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,7.532992344600018,16,108.0,0.0,0.0,108.0,16.0,0.0,0
108,108,1,3,15,Cloudy,12.0,False,100,0.0,45,False,100,0.0,15,True,40,1.840000033,16.0,5.8769923149000185,16,127.0,0.0,0.0,127.0,16.0,0.0,0
109,109,1,3,30,Cloudy,11.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.220992285200019,61,146.0,0.0,0.0,146.0,61.0,0.0,0
110,110,1,3,45,Cloudy,11.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.244992083600019,16,150.0,0.0,0.0,150.0,16.0,0.0,0
111,111,1,4,0,Cloudy,11.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.58899205390002,61,154.0,0.0,0.0,154.0,61.0,0.0,0
112,112,1,4,15,Cloudy,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.61299185230002,16,158.0,0.0,0.0,158.0,16.0,0.0,0
113,113,1,4,30,Cloudy,10.5,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.9569918226000205,16,162.0,0.0,0.0,162.0,16.0,0.0,0
114,114,1,4,45,Cloudy,10.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.300991792900021,61,166.0,0.0,0.0,166.0,61.0,0.0,0
115,115,1,5,0,Cloudy,10.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.324991591300021,16,170.0,0.0,0.0,170.0,16.0,0.0,0
116,116,1,5,15,Cloudy,10.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.668991561600022,16,174.0,0.0,0.0,174.0,16.0,0.0,0
117,117,1,5,30,Cloudy,9.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,5.012991531900022,61,178.0,0.0,0.0,178.0,61.0,0.0,0
118,118,1,5,45,Cloudy,10.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,8.036991330300022,16,182.0,0.0,0.0,182.0,16.0,0.0,0
119,119,1,6,0,Cloudy,11.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.380991300600023,16,186.0,0.0,0.0,186.0,16.0,0.0,0
120,120,1,6,15,Cloudy,12.0,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.7249912709000235,61,190.0,1.0,0.25,189.75,60.0,0.0,0
121,121,1,6,30,Cloudy,13.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,7.748991069300024,16,194.0,2.0,0.75,193.25,14.0,0.0,0
122,122,1,6,45,Cloudy,14.0,False,100,0.0,0,False,100,0.0,0,True,40,1.840000033,16.0,6.092991039600024,16,198.0,3.0,1.5,196.5,13.0,0.0,0
123,123,1,7,0,Cloudy,14.5,True,100,5.199999809,0,False,100,0.0,0,True,40,1.840000033,16.0,4.436991009900025,61,202.0,4.0,2.5,199.5,57.0,0.0,0
124,124,1,7,15,Cloudy,15.0,False,100,0.0,0,False,100,0.0,0,True,45,2.069999933,18.0,7.460990808300025,18,206.0,5.0,3.75,202.25,13.0,0.0,0
125,125,1,7,30,Cloudy,15.5,True,100,5.199999809,0,False,100,0.0,0,True,50,2.299999952,20.0,5.597990868600025,65,210.5,6.0,5.25,205.25,59.0,0.0,0
126,126,1,7,45,Cloudy,16.0,False,100,0.0,45,False,100,0.0,15,False,55,2.52999994775,22.0,8.207990739900026,22,215.5,7.0,7.0,208.5,15.0,0.0,0
127,127,1,8,0,Cloudy,16.5,False,100,0.0,45,False,100,0.0,15,True,65,2.989999771,26.0,5.930990786925026,26,230.5,8.0,9.0,221.5,18.0,0.0,0
128,128,1,8,15,Cloudy,17.0,True,100,5.199999809,45,False,100,0.0,15,True,70,3.21999979,28.0,3.239990993025026,73,252.0,9.0,11.25,240.75,64.0,0.0,0
129,129,1,8,30,Cloudy,17.5,True,100,5.199999809,45,False,100,0.0,15,True,75,3.449999809,30.0,5.021991010125026,75,274.0,9.5,13.625,260.375,65.5,0.0,0
130,130,1,8,45,Cloudy,18.0,False,100,0.0,45,False,100,0.0,15,True,80,3.680000067,32.0,6.596991010125026,32,296.5,10.0,16.125,280.375,22.0,0.0,0
131,131,1,9,0,Cloudy,18.5,True,100,5.199999809,45,False,100,0.0,15,True,90,4.139999866,36.0,3.2849909498250263,81,319.5,10.5,18.75,300.75,70.5,0.0,0
132,132,1,9,15,Cloudy,19.0,True,100,5.199999809,45,False,100,0.0,15,True,95,4.369999886,38.0,4.238990898525026,83,343.5,11.0,21.5,322.0,72.0,0.0,0
133,133,1,9,30,Cloudy,19.5,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,4.985990829225027,85,368.0,11.5,24.375,343.625,73.5,0.0,0
134,134,1,9,45,Cloudy,20.0,True,100,5.199999809,45,False,100,0.0,15,True,100,4.599999905,40.0,5.5259907428250274,85,393.0,12.0,27.375,365.625,73.0,0.0,0
135,135,1,10,0,Cloudy,20.5,False,100,0.0,0,False,100,0.0,0,True,100,4.599999905,40.0,6.065990656425028,40,418.0,12.5,30.5,387.5,27.5,0.0,0
136,136,1,10,15,Cloudy,21.0,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,1.9259907419250286,85,428.0,13.0,33.75,394.25,72.0,0.0,0
137,137,1,10,30,Cloudy,21.5,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,2.465990655525029,85,438.0,13.5,37.125,400.875,71.5,0.0,0
138,138,1,10,45,Cloudy,22.0,True,100,5.199999809,0,False,100,0.0,0,True,100,4.599999905,40.0,3.0059905691250295,85,448.0,14.0,40.625,407.375,71.0,0.0,0
